Example,How confident are you in the models prediction? (1-5),Is the model looking at the correct feature? (1-5)
1,4,5
2,4,5
3,5,4
4,3,4
5,5,5
6,2,4
7,4,4
8,3,3
9,3,1
10,5,4
11,4,2
12,5,4
13,5,4
14,5,3
15,4,5
16,2,4
17,4,3
18,5,5
19,5,5
20,5,5
21,4,3
22,4,3
23,5,4
24,5,5
25,2,2
26,5,3
27,5,4
28,5,4
29,5,3
30,5,4
31,5,4
32,5,3
33,4,3
34,4,4
35,5,3
36,5,3
37,5,4
38,5,1
39,5,2
40,5,2
41,4,3
42,5,4
43,5,5
44,2,3
45,3,3
46,2,3
47,3,4
48,2,2
49,2,2
50,3,3
51,4,4
52,5,5
53,5,4
54,5,4
55,3,3
56,4,2
57,4,2
58,4,4
59,3,3
60,5,3
61,2,3
62,2,2
63,5,3
64,3,1
65,2,3
66,5,3
67,5,4
68,5,3
69,5,3
70,5,1
71,4,2
72,3,1
73,5,4
74,3,4
75,5,4
76,3,2
77,2,1
78,2,1
79,5,2
80,5,2
81,5,4
82,5,5
83,5,5
84,4,3
85,5,4
86,4,2
87,5,5
88,4,3
89,5,5
90,4,3
91,5,3
92,5,5
93,5,5
94,4,4
95,5,5
96,5,2
97,5,5
98,5,5
99,5,4
100,5,4
101,5,4
102,5,5
103,5,3
104,5,2
105,4,3
106,5,2
107,4,3
108,5,3
109,5,3
110,5,4
111,5,4
112,5,1
113,5,3
114,5,3
115,5,4
116,5,5
117,3,2
118,3,2
119,5,2
120,5,5
121,5,5
122,5,2
123,5,5
124,5,5
125,3,3
126,5,4
127,5,3
128,5,4
129,5,4
130,5,3
131,2,2
132,5,2
133,5,5
134,5,5
135,5,2
136,5,1
137,5,2
138,5,4
139,4,3
140,5,3
141,3,2
142,5,3
143,5,3
144,5,3
145,5,5
146,5,4
147,4,4
148,4,2
149,5,3
150,5,2
151,5,3
152,5,5
153,5,2
154,5,2
155,5,3
156,5,2
157,5,3
158,5,3
159,4,1
160,5,5
161,5,5
162,5,1
163,5,5
164,2,3
165,5,3
166,2,1
167,2,3
168,4,3
169,1,1
170,5,4
171,1,2
172,5,1
173,5,5
174,5,4
175,1,1
176,2,1
177,1,2
178,4,1
179,5,5
180,1,2
181,5,4
182,5,5
183,2,1
184,2,1
185,4,5
186,5,2
187,4,4
188,5,5
189,1,3
190,1,2
191,4,4
192,5,5
193,5,5
194,5,5
195,1,2
196,5,5
197,1,2
198,5,5
199,5,4
200,5,5
201,2,1
202,2,1
203,1,1
204,1,1
205,4,2
206,1,1
207,1,1
208,1,1
209,1,1
210,5,4
211,4,2
212,5,1
213,1,1
214,4,3
215,1,2
216,5,1
217,4,2
218,2,1
219,5,1
220,3,4
221,5,1
222,4,1
223,3,2
224,2,1
225,3,1
226,2,1
227,2,1
228,3,1
229,2,1
230,3,1
231,1,1
232,1,1
233,1,1
234,2,1
235,2,1
236,4,1
237,1,1
238,2,1
239,2,1
240,2,1
